Datetime_Cleaned,Solar_Wind_Speed_kms,Proton_Density_cm3,Kp_Index,Water_Height_Meters,Earthquake_Magnitude,Seismic_Depth_km,Starlink_Satellites_Destroyed,Radar_Signal_Loss_dB,GPS_Position_Error_Meters,Scaled_Solar_Speed,Scaled_Radar_Loss
1996-01-01 00:00:00,363.5,3.8,1,0.64,0.0,0.0,0,1.49,1.83,0.15508857242097954,0.02018348623853211
1996-01-01 01:00:00,361.0,1.5,0,1.19,0.0,0.0,0,0.57,1.82,0.15074678707884687,0.0014271151885830776
1996-01-01 02:00:00,348.1,2.6,1,1.64,0.0,0.0,0,1.43,1.8,0.12834317471344223,0.018960244648318043
1996-01-01 03:00:00,369.5,4.3,2,1.77,0.0,0.0,0,2.31,1.84,0.165508857242098,0.036901121304791035
1996-01-01 04:00:00,364.8,4.4,2,1.67,0.0,0.0,0,2.32,1.83,0.15734630079888856,0.03710499490316004
1996-01-01 05:00:00,343.8,3.0,1,1.35,0.0,0.0,0,1.45,1.79,0.120875303924974,0.019367991845056064
1996-01-01 06:00:00,351.1,3.2,1,0.72,0.0,0.0,0,1.46,1.8,0.13355331712400145,0.019571865443425075
1996-01-01 07:00:00,363.7,0.9,0,0.13,0.0,0.0,0,0.55,1.83,0.15543591524835013,0.001019367991845057
1996-01-01 08:00:00,336.8,1.2,0,-0.31,0.0,0.0,0,0.56,1.77,0.10871830496700248,0.0012232415902140685
1996-01-01 09:00:00,341.1,3.9,1,-0.55,0.0,0.0,0,1.5,1.78,0.11618617575547072,0.020387359836901122
1996-01-01 10:00:00,321.5,4.9,2,-0.56,0.0,0.0,0,2.35,1.74,0.08214657867315042,0.03771661569826708
1996-01-01 11:00:00,364.2,6.9,3,-0.16,0.0,0.0,0,3.25,1.83,0.15630427231677668,0.05606523955147809
1996-01-01 12:00:00,345.3,2.2,1,0.39,0.0,0.0,0,1.41,1.79,0.1234803751302536,0.01855249745158002
1996-01-01 13:00:00,352.8,1.4,0,0.93,0.0,0.0,0,0.57,1.81,0.13650573115665166,0.0014271151885830776
1996-01-01 14:00:00,360.0,2.0,0,1.47,0.0,0.0,0,0.6,1.82,0.14901007294199378,0.002038735983690112
1996-01-01 15:00:00,352.6,1.9,0,1.7,0.0,0.0,0,0.59,1.81,0.13615838832928107,0.0018348623853211004
1996-01-01 16:00:00,375.1,5.4,2,1.8,0.0,0.0,0,2.37,1.85,0.17523445640847524,0.0381243628950051
1996-01-01 17:00:00,371.1,1.8,0,1.53,0.0,0.0,0,0.59,1.84,0.16828759986106295,0.0018348623853211004
1996-01-01 18:00:00,367.3,3.7,1,1.02,0.0,0.0,0,1.49,1.83,0.16168808614102123,0.02018348623853211
1996-01-01 19:00:00,363.8,0.9,0,0.46,0.0,0.0,0,0.55,1.83,0.15560958666203548,0.001019367991845057
1996-01-01 20:00:00,389.3,1.8,0,-0.15,0.0,0.0,0,0.59,1.88,0.19989579715178887,0.0018348623853211004
1996-01-01 21:00:00,378.0,1.1,0,-0.42,0.0,0.0,0,0.56,1.86,0.1802709274053491,0.0012232415902140685
1996-01-01 22:00:00,379.2,2.0,1,-0.47,0.0,0.0,0,1.4,1.86,0.1823549843695728,0.018348623853211007
1996-01-01 23:00:00,363.4,0.4,0,-0.31,0.0,0.0,0,0.52,1.83,0.1549149010072942,0.0004077471967380228
1996-01-02 00:00:00,415.0,7.2,3,0.24,0.0,0.0,0,3.26,1.93,0.24452935046891286,0.056269113149847096
1996-01-02 01:00:00,333.4,0.7,0,0.76,0.0,0.0,0,0.54,1.77,0.10281347690170196,0.0008154943934760456
1996-01-02 02:00:00,353.5,5.1,2,1.35,0.0,0.0,0,2.35,1.81,0.1377214310524488,0.03771661569826708
1996-01-02 03:00:00,328.8,5.0,2,1.74,0.0,0.0,0,2.35,1.76,0.09482459187217789,0.03771661569826708
1996-01-02 04:00:00,371.6,1.2,0,1.94,0.0,0.0,0,0.56,1.84,0.16915595692948948,0.0012232415902140685
1996-01-02 05:00:00,384.9,8.2,4,1.68,0.0,0.0,0,10.91,4.67,0.19225425494963527,0.21223241590214068
1996-01-02 06:00:00,350.3,5.8,2,1.23,0.0,0.0,0,2.39,1.8,0.13216394581451898,0.03853211009174312
1996-01-02 07:00:00,379.5,2.3,1,0.68,0.0,0.0,0,1.42,1.86,0.18287599861062873,0.018756371049949032
1996-01-02 08:00:00,335.1,4.8,2,0.08,0.0,0.0,0,2.34,1.77,0.10576589093435228,0.037512742099898064
1996-01-02 09:00:00,357.9,2.5,1,-0.31,0.0,0.0,0,1.43,1.82,0.1453629732546023,0.018960244648318043
1996-01-02 10:00:00,364.6,4.3,2,-0.43,0.0,0.0,0,2.31,1.83,0.15699895797151797,0.036901121304791035
1996-01-02 11:00:00,355.0,4.3,2,-0.42,0.0,0.0,0,2.31,1.81,0.1403265022577284,0.036901121304791035
1996-01-02 12:00:00,337.4,2.3,1,0.01,0.0,0.0,0,1.42,1.77,0.10976033344911426,0.018756371049949032
1996-01-02 13:00:00,344.3,3.6,1,0.54,0.0,0.0,0,1.48,1.79,0.12174366099340053,0.0199796126401631
1996-01-02 14:00:00,379.7,6.3,3,1.22,0.0,0.0,0,3.22,1.86,0.18322334143799932,0.05545361875637106
1996-01-02 15:00:00,384.3,2.6,1,1.7,0.0,0.0,0,1.43,1.87,0.1912122264675235,0.018960244648318043
1996-01-02 16:00:00,360.5,3.2,1,1.97,0.0,0.0,0,1.46,1.82,0.1498784300104203,0.019571865443425075
1996-01-02 17:00:00,366.3,5.1,2,1.91,0.0,0.0,0,2.35,1.83,0.15995137200416817,0.03771661569826708
1996-01-02 18:00:00,358.3,2.0,1,1.47,0.0,0.0,0,1.4,1.82,0.14605765890934358,0.018348623853211007
1996-01-02 19:00:00,381.9,2.1,1,1.01,0.0,0.0,0,1.41,1.86,0.18704411253907607,0.01855249745158002
1996-01-02 20:00:00,371.7,1.4,0,0.48,0.0,0.0,0,0.57,1.84,0.16932962834317472,0.0014271151885830776
