Datetime_Cleaned,Solar_Wind_Speed_kms,Proton_Density_cm3,Kp_Index,Water_Height_Meters,Earthquake_Magnitude,Seismic_Depth_km,Starlink_Satellites_Destroyed,Radar_Signal_Loss_dB,GPS_Position_Error_Meters,Scaled_Solar_Speed,Scaled_Radar_Loss
2011-01-01 00:00:00,395.0,2.5,1,0.57,0.0,0.0,0,1.43,1.89,0.21497584541062806,0.018960244648318043
2011-01-01 01:00:00,354.3,4.1,2,1.32,0.0,0.0,0,2.31,1.81,0.14475500345065567,0.036901121304791035
2011-01-01 02:00:00,350.3,1.5,0,1.66,0.0,0.0,0,0.57,1.8,0.13785369220151833,0.0014271151885830776
2011-01-01 03:00:00,306.9,7.8,3,1.83,0.0,0.0,0,3.29,1.71,0.06297446514837819,0.05688073394495413
2011-01-01 04:00:00,359.8,3.1,1,1.64,0.0,0.0,0,1.46,1.82,0.1542443064182195,0.019571865443425075
2011-01-01 05:00:00,353.6,5.4,2,1.31,0.0,0.0,0,2.37,1.81,0.14354727398205666,0.0381243628950051
2011-01-01 06:00:00,349.3,2.1,1,0.73,0.0,0.0,0,1.41,1.8,0.136128364389234,0.01855249745158002
2011-01-01 07:00:00,366.3,9.2,4,0.16,0.0,0.0,0,10.96,4.63,0.16545893719806767,0.21325178389398575
2011-01-01 08:00:00,368.4,9.4,4,-0.32,0.0,0.0,0,10.97,4.64,0.16908212560386474,0.21345565749235476
2011-01-01 09:00:00,338.7,2.3,1,-0.55,0.0,0.0,0,1.42,1.78,0.11783988957902003,0.018756371049949032
2011-01-01 10:00:00,342.3,2.1,1,-0.44,0.0,0.0,0,1.41,1.78,0.12405106970324367,0.01855249745158002
2011-01-01 11:00:00,350.5,6.6,3,-0.11,0.0,0.0,0,3.23,1.8,0.1381987577639752,0.05565749235474007
2011-01-01 12:00:00,373.8,5.8,2,0.44,0.0,0.0,0,2.39,1.85,0.17839889579020018,0.03853211009174312
2011-01-01 13:00:00,371.2,2.5,1,0.99,0.0,0.0,0,1.43,1.84,0.1739130434782609,0.018960244648318043
2011-01-01 14:00:00,333.9,3.0,1,1.62,0.0,0.0,0,1.45,1.77,0.1095583160800552,0.019367991845056064
2011-01-01 15:00:00,337.6,1.8,0,1.84,0.0,0.0,0,0.59,1.78,0.11594202898550732,0.0018348623853211004
2011-01-01 16:00:00,374.7,2.1,1,1.81,0.0,0.0,0,1.41,1.85,0.17995169082125606,0.01855249745158002
2011-01-01 17:00:00,391.5,6.8,3,1.54,0.0,0.0,0,3.24,1.88,0.2089371980676329,0.05586136595310908
2011-01-01 18:00:00,359.4,5.1,2,1.12,0.0,0.0,0,2.35,1.82,0.15355417529330573,0.03771661569826708
2011-01-01 19:00:00,346.3,2.2,1,0.44,0.0,0.0,0,1.41,1.79,0.13095238095238101,0.01855249745158002
2011-01-01 20:00:00,381.9,5.7,2,-0.08,0.0,0.0,0,2.39,1.86,0.19237405106970323,0.03853211009174312
2011-01-01 21:00:00,353.8,3.8,1,-0.41,0.0,0.0,0,1.49,1.81,0.1438923395445135,0.02018348623853211
2011-01-01 22:00:00,374.5,2.5,1,-0.46,0.0,0.0,0,1.43,1.85,0.1796066252587992,0.018960244648318043
2011-01-01 23:00:00,391.0,7.0,3,-0.2,0.0,0.0,0,3.25,1.88,0.20807453416149072,0.05606523955147809
2011-01-02 00:00:00,372.6,2.9,1,0.26,0.0,0.0,0,1.45,1.85,0.176328502415459,0.019367991845056064
2011-01-02 01:00:00,361.5,4.0,2,0.83,0.0,0.0,0,2.3,1.82,0.15717736369910287,0.03669724770642201
2011-01-02 02:00:00,374.6,3.0,1,1.38,0.0,0.0,0,1.45,1.85,0.17977915804002767,0.019367991845056064
2011-01-02 03:00:00,347.1,9.1,4,1.74,0.0,0.0,0,10.96,4.59,0.1323326432022085,0.21325178389398575
2011-01-02 04:00:00,356.4,1.9,0,1.87,0.0,0.0,0,0.59,1.81,0.1483781918564527,0.0018348623853211004
2011-01-02 05:00:00,348.5,1.6,0,1.7,0.0,0.0,0,0.58,1.8,0.13474810213940652,0.0016309887869520889
